src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.7,239.255.255.250,40570,1900,17,2025-10-13 19:58:51,0.0,0,0,0,0,2,0,472,0,236,236,236.0,0.0,0,0,0,0.0,236,236,236.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.0,0,0,2,0,472,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:01:50,99.76757502555847,110.68726484703073,0.5813512053905445,0.5813512053905445,0.0,58,0,11043,0,877,116,190.39655172413794,170.11131646104383,0,0,0,0.0,877,116,190.39655172413794,170.11131646104383,28937.859988109398,1160,0,20,58,1.7503083337817276,15.993879079818726,0.0,3.7069173732369824,99.76757502555847,15.993879079818726,0.0,1.7503083337817276,3.7069173732369824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,190.39655172413794,0,0,0,0,0,0,0,0,0,0,1306.0,8.6,0,0,753.276479517838,0,190.39655172413794,0,0,58,0,11043,0
192.168.1.7,239.255.255.250,56402,1900,17,2025-10-13 20:00:04,0.0,0,0,0,0,2,0,520,0,260,260,260.0,0.0,0,0,0,0.0,260,260,260.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,0,0,2,0,520,0
192.168.1.8,224.0.0.251,5353,5353,17,2025-10-13 20:00:28,0.0,0,0,0,0,2,0,422,0,211,211,211.0,0.0,0,0,0,0.0,211,211,211.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.0,0,0,2,0,422,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 20:03:16,100.14743399620056,5.99116698309777,0.059911669830977704,0.059911669830977704,0.0,6,0,600,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,120,0,20,6,20.02948679924011,25.190293073654175,0.0,10.015675934261456,100.14743399620056,25.190293073654175,0.0,20.02948679924011,10.015675934261456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,6,0,600,0
192.168.1.7,255.255.255.255,56700,56700,17,2025-10-13 20:03:05,119.80830717086792,2.6041599899665773,0.033386666538033044,0.033386666538033044,0.0,4,0,312,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,80,0,20,4,39.93610239028931,59.904834032058716,0.0,28.239088819799186,119.80830717086792,59.904834032058716,0.0,39.93610239028931,28.239088819799186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,4,0,312,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:03:30,99.9475929737091,48.90562998636468,0.36018876422036183,0.36018876422036183,0.0,36,0,4888,0,144,100,135.77777777777777,8.37692303332034,0,0,0,0.0,144,100,135.77777777777777,8.37692303332034,70.17283950617283,720,0,20,36,2.855645513534546,16.32762098312378,0.0,5.1482932091446525,99.9475929737091,16.32762098312378,0.0,2.855645513534546,5.1482932091446525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,135.77777777777777,0,0,0,0,0,0,0,0,0,0,465.6,4.8,0,0,442.41782590014327,0,135.77777777777777,0,0,36,0,4888,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:05:10,99.41007113456726,106.35743319897409,0.5532638632312092,0.5532638632312092,0.0,55,0,10573,0,877,94,192.23636363636365,174.64946332961435,0,0,0,0.0,877,94,192.23636363636365,174.64946332961435,30502.43504132231,1100,0,20,55,1.840927243232727,16.161617040634155,0.0,4.0934588726421755,99.41007113456726,16.161617040634155,0.0,1.840927243232727,4.0934588726421755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,192.23636363636365,0,0,0,0,0,0,0,0,0,0,1057.6,7.4,0,0,763.6870723957901,0,192.23636363636365,0,0,55,0,10573,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 20:05:21,100.14783501625061,5.991142992783022,0.05991142992783022,0.05991142992783022,0.0,6,0,600,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,120,0,20,6,20.029567003250122,25.190863132476807,0.0,10.015726665706815,100.14783501625061,25.190863132476807,0.0,20.029567003250122,10.015726665706815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,6,0,600,0
192.168.1.7,255.255.255.255,56700,56700,17,2025-10-13 20:06:05,119.80862212181091,2.60415314419346,0.03338657877171102,0.03338657877171102,0.0,4,0,312,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,80,0,20,4,39.93620737393697,59.90456700325012,0.0,28.23916304975627,119.80862212181091,59.90456700325012,0.0,39.93620737393697,28.23916304975627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,4,0,312,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:06:49,99.6108148097992,49.19144582198482,0.3614065407329497,0.3614065407329497,0.0,36,0,4900,0,144,100,136.11111111111111,8.458321930297002,0,0,0,0.0,144,100,136.11111111111111,8.458321930297002,71.5432098765432,720,0,20,36,2.846023280279977,16.010086059570312,0.0,5.341176267878261,99.6108148097992,16.010086059570312,0.0,2.846023280279977,5.341176267878261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,136.11111111111111,0,0,0,0,0,0,0,0,0,0,486.0,5.0,0,0,544.6140962656684,0,136.11111111111111,0,0,36,0,4900,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 20:07:26,100.14338612556458,5.991409150552301,0.059914091505523015,0.059914091505523015,0.0,6,0,600,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,120,0,20,6,20.028677225112915,25.191234827041626,0.0,10.015297457574118,100.14338612556458,25.191234827041626,0.0,20.028677225112915,10.015297457574118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,6,0,600,0
192.168.1.7,239.255.255.250,39254,1900,17,2025-10-13 20:05:08,0.0,0,0,0,0,2,0,520,0,260,260,260.0,0.0,0,0,0,0.0,260,260,260.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,0,0,2,0,520,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:08:29,99.70010209083557,51.033047041059035,0.37111296000770133,0.37111296000770133,0.0,37,0,5088,0,144,132,137.51351351351352,5.98024505337917,0,0,0,0.0,144,132,137.51351351351352,5.98024505337917,35.76333089846603,740,0,20,37,2.769447280300988,16.038704872131348,0.0,5.300891332590806,99.70010209083557,16.038704872131348,0.0,2.769447280300988,5.300891332590806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,137.51351351351352,0,0,0,0,0,0,0,0,0,0,468.0,4.8,0,0,567.2257794862097,0,137.51351351351352,0,0,37,0,5088,0
